pytanie,tresc
Q1_1,"Jak oceniasz swoją wiedzę na temat anatomii i fizjologii związanej z ludzką seksualnością?"
Q1_2,"Jak oceniasz swoją wiedzę na temat różnic w seksualności kobiet i mężczyzn?"
Q1_3,"Jak oceniasz swoją wiedzę na temat edukacji seksualnej i seksuologii?"
Q1_4,"Jak oceniasz swoją wiedzę na temat ciąży, porodu i ich wpływie na ciało i seksualność kobiet?"
Q1_5,"Jak oceniasz swoją wiedzę na temat wpływu chorób na seksualność pacjentów?"
Q1_6,"Jak oceniasz swoją wiedzę na temat seksualności osób z niepełnosprawnością ruchową?"
Q1_7,"Jak oceniasz swoją wiedzę na temat technik i metod stosowanych w rehabilitacji seksualnej?"
Q1_8,"Jak oceniasz swoją wiedzę na temat akcesoriów, urządzeń i leków wspomagających erekcję?"
Q1_9,"Jak oceniasz swoją wiedzę na temat akcesoriów i gadżetów seksualnych dla osób chorych lub z niepełnosprawnością?"
Q1_10,"Jak oceniasz swoją wiedzę na temat naukowych źródeł wiedzy oraz miejsc i organizacji specjalizujących się w rehabilitacji seksuologicznej?"
Q2_1,"Jestem otwarta/y na rozmowę o seksualności"
Q2_2,"Umiem rozmawiać z pacjentem na temat seksualności"
Q2_3,"Staram się poznać potrzeby pacjenta związane z seksualnością"
Q2_4,"Potrafię oddzielić wiedzę od własnych doświadczeń i poglądów"
Q2_5,"Respektuję granice i szanuję różnorodność pacjentów"
Q2_6,"Nie moralizuję i nie oceniam pacjentów"
Q2_7,"W przypadku czynności naruszających intymność pacjenta, pytam go o zgodę"
Q2_8,"Dbam o to żeby miejsce terapii było komfortowe dla pacjenta i zapewniało mu prywatność"
Q2_9,"Unikam niepotrzebnej ekspozycji nagości pacjenta"
Q2_10,"Umiem radzić sobie ze wstydem, własnym i pacjenta"
Q3_1,"Inicjując rozmowę o zdrowiu seksualnym czuję się komfortowo"
Q3_2,"Rozmawiając z pacjentem o zdrowiu seksualnym czuję się komfortowo"
Q3_3,"Kiedy pacjent podczas terapii ma erekcję, czuję się zawstydzony"
Q3_4,"Pracując w okolicach intymnych pacjenta czuję się niekomfortowo"
Q3_5,"Kiedy pacjent zadaje mi pytania dotyczące seksu, czuję się zawstydzona/y"
Q3_6,"Kiedy pacjent rozbiera się, czuję się skrępowany"
Q3_7,"Czasem rezygnuję z pracy w niektórych okolicach ciała pacjenta, bo obawiam się że przekroczę granicę jego intymności"
Q3_8,"Unikam rozmawiania z pacjentem o seksualności"
Q3_9,"Czuję się zawstydzony nagością pacjenta"
Q3_10,"Czuję się niekomfortowo kiedy podczas terapii mam kontakt fizyczny z pacjentem"
