time,plec,wiek,stopien,zajecia,zajecia_dodatkowe,profil,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10
2/4/2021 10:46:29,Kobieta,23,Licencjat,Nie,Nie,"Osoby z niepełnosprawnością ruchową, Osoby z niepełnosprawnością intelektualną, Pediatryczni",4,4,4,4,3,2,1,3,1,1,5,3,3,4,4,5,5,5,5,5,4,3,2,2,2,2,4,3,2,2
2/4/2021 10:47:13,Kobieta,23,Licencjat,Nie,Nie,"Neurologiczni, Reumatologiczni, Osoby z niepełnosprawnością ruchową",4,4,4,3,3,4,3,3,3,3,5,4,4,3,5,5,5,5,5,4,3,4,3,2,4,1,2,3,1,1
2/4/2021 10:51:53,Kobieta,23,Licencjat,Nie,Nie,"Neurologiczni, Ortopedyczni, Geriatryczni, Osoby z niepełnosprawnością ruchową",3,4,4,4,2,3,3,3,2,2,5,4,4,4,4,4,5,5,4,4,5,5,3,2,1,1,1,1,2,1
2/4/2021 11:18:59,Kobieta,23,Licencjat,Nie,Nie,Dzieci z wadami postawy,2,2,4,3,1,1,1,3,1,1,5,3,2,4,5,5,4,4,4,4,4,4,3,4,2,2,3,2,1,1
2/4/2021 11:19:06,Kobieta,23,Licencjat,Nie,Nie,Dzieci z wadami postawy,2,2,4,3,1,1,1,3,1,1,5,3,2,4,5,5,4,4,4,4,4,4,3,4,2,2,3,2,1,1
2/4/2021 11:22:00,Kobieta,23,Licencjat,Nie,Nie,"Neurologiczni, Kardiologiczni, Ortopedyczni, Geriatryczni, Osoby z niepełnosprawnością ruchową",3,3,4,3,3,2,1,2,1,1,5,3,1,3,4,4,5,5,3,4,3,4,2,4,3,2,4,3,2,2
2/4/2021 11:25:18,Mężczyzna,32,Magister,Nie,Nie,"Neurologiczni, Ortopedyczni, Osoby z niepełnosprawnością ruchową, Stomatologiczni",3,3,3,3,3,2,3,3,2,2,5,4,3,4,4,5,5,5,5,5,5,5,3,2,1,1,3,1,1,1
2/4/2021 11:29:58,Kobieta,24,Licencjat,Nie,Nie,Ortopedyczni,4,5,3,4,3,2,1,2,2,1,5,2,3,3,5,5,5,5,5,4,4,4,3,1,1,1,2,3,1,1
2/4/2021 12:32:11,Mężczyzna,23,Licencjat,Nie,Nie,"Ortopedyczni, Reumatologiczni, Geriatryczni",3,4,4,3,3,3,2,1,1,1,4,3,2,3,4,3,4,4,4,3,3,3,3,4,3,2,4,2,1,1
2/4/2021 13:14:03,Kobieta,23,Licencjat,Nie,Tak,"Ortopedyczni, Ginekologiczne, Urologiczni, Reumatologiczni",4,4,4,4,3,3,4,3,3,3,5,4,4,4,5,5,5,5,4,4,4,4,3,4,1,1,2,2,1,1
